episode,steps,reward,epsilon,max_q,avg100,lr
114,473,170.000,0.946429,2.77487,261.000,0.00023887
115,569,290.000,0.945888,2.78465,262.300,0.00023870
116,461,300.000,0.945450,2.21526,262.100,0.00023856
117,623,380.000,0.944858,2.98176,264.300,0.00023838
118,429,300.000,0.944451,3.27798,264.800,0.00023825
119,419,180.000,0.944053,2.47432,263.200,0.00023813
120,417,250.000,0.943656,3.07222,262.300,0.00023800
121,445,300.000,0.943234,2.87532,261.600,0.00023787
122,555,280.000,0.942706,3.88666,261.600,0.00023770
123,501,310.000,0.942230,3.26824,262.600,0.00023756
124,469,210.000,0.941785,4.01163,262.100,0.00023742
125,455,210.000,0.941353,3.76036,256.800,0.00023728
126,515,240.000,0.940863,3.82840,256.800,0.00023713
127,667,330.000,0.940230,3.82196,258.100,0.00023693
128,433,210.000,0.939818,3.21631,253.900,0.00023680
129,501,280.000,0.939342,3.43443,254.900,0.00023665
130,635,220.000,0.938739,3.68179,254.300,0.00023647
131,493,230.000,0.938271,2.97846,255.200,0.00023632
132,451,260.000,0.937842,3.76769,256.300,0.00023619
133,473,170.000,0.937393,3.39570,256.200,0.00023605
134,541,280.000,0.936879,3.25442,255.900,0.00023589
135,415,150.000,0.936485,3.17666,254.000,0.00023577
136,487,240.000,0.936022,3.66920,254.900,0.00023562
137,461,280.000,0.935584,4.12860,253.600,0.00023549
138,541,190.000,0.935070,3.53281,252.800,0.00023533
139,491,160.000,0.934604,4.05521,245.200,0.00023518
140,961,1280.000,0.933691,3.75369,255.900,0.00023490
141,581,250.000,0.933139,3.58811,256.800,0.00023473
142,541,300.000,0.932625,4.14733,257.900,0.00023457
143,497,280.000,0.932153,4.21955,257.500,0.00023443
144,437,270.000,0.931738,3.85458,257.600,0.00023430
145,499,260.000,0.931264,4.42616,258.500,0.00023415
146,563,300.000,0.930729,3.76842,258.700,0.00023399
147,363,140.000,0.930384,4.28217,258.500,0.00023388
148,613,380.000,0.929802,4.49253,259.800,0.00023370
149,541,640.000,0.929288,3.87587,263.900,0.00023354
150,469,200.000,0.928842,3.75055,264.200,0.00023341
151,529,210.000,0.928340,4.05824,263.900,0.00023325
152,341,170.000,0.928016,4.16569,264.200,0.00023315
153,557,320.000,0.927486,3.55893,265.200,0.00023299
154,481,360.000,0.927030,4.09330,266.100,0.00023285
155,503,230.000,0.926552,3.84782,265.600,0.00023270
156,567,270.000,0.926013,4.06349,265.600,0.00023254
157,551,300.000,0.925490,4.26364,266.800,0.00023238
158,449,180.000,0.925063,3.80020,267.000,0.00023225
159,385,210.000,0.924697,4.35589,265.600,0.00023214
160,865,800.000,0.923876,3.83539,271.500,0.00023189
161,455,180.000,0.923443,3.84872,271.000,0.00023175
162,481,160.000,0.922986,4.23767,270.000,0.00023161
163,463,140.000,0.922547,4.18459,269.400,0.00023148
164,261,70.000,0.922299,4.23158,268.900,0.00023141
165,513,210.000,0.921811,4.99383,268.800,0.00023126
166,631,450.000,0.921212,3.98009,271.400,0.00023107
167,545,310.000,0.920694,4.05624,271.100,0.00023092
168,481,320.000,0.920237,3.91263,271.900,0.00023078
169,559,200.000,0.919706,4.75137,270.900,0.00023062
170,487,310.000,0.919243,4.38446,272.300,0.00023048
171,403,220.000,0.918860,4.14486,271.500,0.00023036
172,385,200.000,0.918495,4.19721,271.300,0.00023025
173,465,220.000,0.918053,4.89439,270.800,0.00023012
174,445,230.000,0.917630,4.57022,270.000,0.00022999
175,393,110.000,0.917257,4.37988,268.100,0.00022988
176,545,250.000,0.916739,4.19146,268.300,0.00022972
177,433,180.000,0.916328,4.47234,268.200,0.00022959
178,411,260.000,0.915937,4.48492,268.300,0.00022948
179,579,300.000,0.915387,4.75499,268.300,0.00022931
180,527,260.000,0.914887,5.11806,267.500,0.00022916
181,565,260.000,0.914350,4.34190,268.200,0.00022900
182,425,230.000,0.913946,4.60673,268.200,0.00022888
183,447,250.000,0.913521,5.26497,268.600,0.00022875
184,447,270.000,0.913097,4.87768,268.200,0.00022862
185,469,280.000,0.912651,4.92726,269.400,0.00022849
186,353,160.000,0.912316,4.61433,268.500,0.00022839
187,683,490.000,0.911667,4.73456,270.600,0.00022819
188,521,280.000,0.911172,5.26359,271.700,0.00022804
189,507,280.000,0.910691,4.65102,273.000,0.00022790
190,543,230.000,0.910175,5.49444,272.000,0.00022774
191,443,270.000,0.909754,4.77927,273.400,0.00022762
192,469,200.000,0.909308,5.82412,273.300,0.00022748
193,417,220.000,0.908912,4.38587,273.800,0.00022737
194,503,240.000,0.908434,4.72619,271.400,0.00022722
195,1077,1190.000,0.907411,5.33269,281.200,0.00022692
196,491,260.000,0.906945,6.05516,281.200,0.00022678
197,447,290.000,0.906520,5.03200,281.700,0.00022665
198,401,160.000,0.906139,5.13421,280.900,0.00022654
199,381,240.000,0.905777,4.81958,280.100,0.00022643
200,533,200.000,0.905271,5.12208,280.500,0.00022628
201,457,190.000,0.904837,5.37951,280.800,0.00022615
202,545,390.000,0.904319,5.31206,281.800,0.00022600
203,465,280.000,0.903877,6.11191,281.800,0.00022586
204,501,210.000,0.903401,5.95166,280.800,0.00022572
205,511,280.000,0.902916,5.30800,281.700,0.00022558
206,443,290.000,0.902495,5.44956,282.100,0.00022545
207,399,190.000,0.902116,5.62541,282.500,0.00022534
208,469,250.000,0.901670,5.79271,282.300,0.00022521
209,597,410.000,0.901103,5.77258,283.600,0.00022504
210,551,310.000,0.900580,4.99259,284.600,0.00022489
211,521,310.000,0.900085,5.85667,284.800,0.00022474
212,545,310.000,0.899567,5.48675,280.600,0.00022459
213,437,330.000,0.899152,5.26326,281.000,0.00022446
214,629,370.000,0.898554,5.63575,283.000,0.00022429
215,761,750.000,0.897831,5.28685,287.600,0.00022407
216,599,420.000,0.897262,6.38459,288.800,0.00022391
217,585,230.000,0.896707,6.01344,287.300,0.00022374
218,445,240.000,0.896284,5.06409,286.700,0.00022362
219,389,210.000,0.895914,5.48186,287.000,0.00022351
220,539,290.000,0.895402,5.91039,287.400,0.00022336
221,801,860.000,0.894641,6.17879,293.000,0.00022314
222,481,150.000,0.894184,6.13586,291.700,0.00022300
223,441,230.000,0.893765,6.07044,290.900,0.00022288
224,595,370.000,0.893200,6.37329,292.500,0.00022271
225,383,160.000,0.892836,6.10453,292.000,0.00022261
226,623,420.000,0.892244,5.67189,293.800,0.00022243
227,499,340.000,0.891770,7.22884,293.900,0.00022230
228,505,370.000,0.891291,6.07537,295.500,0.00022215
229,421,160.000,0.890891,6.15773,294.300,0.00022204
230,683,610.000,0.890242,6.44083,298.200,0.00022185
231,487,290.000,0.889779,5.98836,298.800,0.00022171
232,499,270.000,0.889305,5.86170,298.900,0.00022157
